REB0000000000100378211501TRAZODONE 50MG TABLET         00378SANDOZ INC                    2202300021038500000005100001530905100013778145000015309060000309950000202630000107320000150000000002257800000000000YUNIT202406042024080320240624SMLIL20240624GEN          
REB0000000001700074381390HUMALOG 100U/ML VIAL          00074PFIZER INC                    1202300037679800000045660001806157400016255416000018061580000338200000173180000165020000150000000006217900000058715N    202305272023072699999999NEAIL20230527LEG          
REB0000000001800591024701HYDROCODONE-ACET 5-325MG      00591GLAXOSMITHKLINE LLC           3202300000211200000004400001219289800010973608000012192900000164420000124110000040310000150000000000008500000000079N    202405012024063020240521SEAIL20240521GEN          
REB0000000001900007465020PAXIL 20MG TABLET             00007MYLAN PHARMACEUTICALS         2202300034324700000035000001844129200016597162000018441300000042350000030540000011810000150000000000405300000003980N    202404272024062620240621NMLIL20240621LEG          
REB0000000002000069015030LIPITOR 10MG TABLET           00069JOHNSON AND JOHNSON           2202300025436900000020710001897093400017073840000018970940000368460000298830000069630000000000000001771100000017136N    202412242025022299999999IGMIL20241224GEN          
REB0000000002150458057930SYNTHROID 100MCG TABLET       50458BRISTOL-MYERS SQUIBB          4202300017982400000046890001565317100014087853000015653180000183950000140290000043660000000000000000785100000007827N    202304162023061520230520SEAIL20230520LEG          
REB0000000002200143314001FUROSEMIDE 40MG TABLET        00143AMGEN INC                     2202300007553900000041830000748382800006735445000007483830000168760000143340000025420000000000000000192000000000000Y    202403172024051620240423SEAIL20240423MMS          
REB0000000002300007465020PAXIL 20MG TABLET             00007TEVA PHARMACEUTICALS          4202300004028800000037240000142264300001280378000001422650000243670000153530000090140000000000000000363100000003396N    202405142024071320240630NGMIL20240630MMS          
REB0000000002400074381390HUMALOG 100U/ML VIAL          00074ASTRAZENECA PHARMACEUTICALS   1202400041885300000016140001662232100014960088000016622330000014410000008230000006180000000000000000258800000002555N    202407272024092520240906NGMIL20240906GEN          
REB0000000002500591024701HYDROCODONE-ACET 5-325MG      00591SANOFI-AVENTIS US LLC         4202300043074800000017610000945940200008513461000009459410000020250000010340000009910000000000000000426800000004088N    202407042024090220240810SEAIL20240810MMS          
REB0000000002600378211501TRAZODONE 50MG TABLET         00378BRISTOL-MYERS SQUIBB          2202400009069900000043670000255228300002297054000002552290000100610000071670000028940000000000000000262400000002505N    202404012024053120240510IMLIL20240510GEN          
REB0000000002700074433902INSULIN GLARGINE 100U/ML      00074SANOFI-AVENTIS US LLC         4202300034034600000047660001800304600016202741000018003050000050890000035910000014980000150000000000509800000004643N    202302102023041120230311NGMIL20230311MMS          
REB0000000002800071015523LIPITOR 20MG TABLET           00071SANDOZ INC                    3202300036434000000024660000456505900004108553000004565060000449040000406390000042650000000000000001553900000014884N    202306062023080599999999IMLIL20230606LEG          
REB0000000002900074381390HUMALOG 100U/ML VIAL          00074BRISTOL-MYERS SQUIBB          3202300031040800000034400000181991700001637925000001819920000165710000145940000019770000000000000000613600000005965N    202307232023092120231020IGMIL20231020LEG          
REB0000000003000185006001ALBUTEROL HFA INHALER         00185ASTRAZENECA PHARMACEUTICALS   2202400026960200000012830001334340500012009064000013343410000408970000220290000188680000000000000005086800000046120N    202406102024080920240906SEAIL20240906LEG          
REB0000000003100006074928JANUVIA 100MG TABLET          00006PFIZER INC                    1202300010037000000034230001445036600013005329000014450370000410610000214850000195760000150000000001964800000017779N    202312272024022599999999IMLIL20231227LEG          
REB0000000003200006027531ZOCOR 20MG TABLET             00006GILEAD SCIENCES INC           4202300046022500000020150001410877300012697895000014108780000208950000122070000086880000000000000003998400000037975N    202303062023050599999999SEAIL20230306GEN          
REB0000000003300003089421ELIQUIS 5MG TABLET            00003SANOFI-AVENTIS US LLC         4202400041103000000027800001668686000015018174000016686860000369170000349680000019490000000000000000801000000007753N    202407102024090820240917NMLIL20240917MMS          
REB0000000003400310075590CRESTOR 10MG TABLET           00310MYLAN PHARMACEUTICALS         1202300026281400000021770000683775900006153983000006837760000466670000336310000130360000000000000003426000000000000YCALC202402092024040999999999SGMIL20240209MMS          
REB0000000003500378180101GABAPENTIN 300MG CAPSULE      00378SANDOZ INC                    1202400018300400000047980000081364900000732284000000813650000097160000054220000042940000000000000000785800000000000YPRIC202305112023071020230725NGMIL20230725MMS          
REB0000000003600591508201OMEPRAZOLE 20MG CAPSULE       00591MYLAN PHARMACEUTICALS         1202300006685900000012950001235184700011116662000012351850000144520000126650000017870000000000000000119400000001140N    202407182024091620241011NGMIL20241011MMS          
REB0000000003700186507031AMOXICILLIN 500MG CAPSULE     00186SANOFI-AVENTIS US LLC         2202400001309300000037860000196734400001770609000001967350000035870000026820000009050000000000000000011800000000117N    202306202023081920230807IEAIL20230807MMS          
REB0000000003850458057930SYNTHROID 100MCG TABLET       50458GLAXOSMITHKLINE LLC           4202400019532800000030500000489782100004408038000004897830000320740000267150000053590000000000000001046700000010108N    202404102024060920240626SMLIL20240626GEN          
REB0000000003900006027531ZOCOR 20MG TABLET             00006JOHNSON AND JOHNSON           2202300032029600000004240001166100900010494908000011661010000273310000197990000075320000000000000002412400000021915N    202406102024080920240724SEAIL20240724LEG          
REB0000000004000006027531ZOCOR 20MG TABLET             00006PFIZER INC                    3202300005784400000027210000662341500005961073000006623420000119520000102310000017210000150000000000099500000000967N    202312152024021320240225NMLIL20240225LEG          
REB0000000004100185006001ALBUTEROL HFA INHALER         00185NOVARTIS PHARMACEUTICALS      3202400018583500000016030001764980300015884822000017649810000014610000012600000002010000150000000000037300000000357N    202405172024071620240618IGMIL20240618LEG          
REB0000000004200591024701HYDROCODONE-ACET 5-325MG      00591ELI LILLY AND COMPANY         1202300000869500000039210000860545900007744913000008605460000370810000185630000185180000000000000000161000000001557N    202312012024013020240220SMLIL20240220LEG          
REB0000000004300093505598AZITHROMYCIN 250MG TABLET     00093ASTRAZENECA PHARMACEUTICALS   2202300029114000000039200001764400700015879606000017644010000227490000174640000052850000150000000001538600000015265N    202311282024012720240206SEAIL20240206MMS          
REB0000000004400007465020PAXIL 20MG TABLET             00007ABBVIE INC                    1202300025491200000014730000755091000006795819000007550910000486450000271440000215010000000000000005480800000053229N    202404022024060120240506IEAIL20240506LEG          
REB0000000004500591508201OMEPRAZOLE 20MG CAPSULE       00591SANOFI-AVENTIS US LLC         2202300021864300000030970000383224300003449018000003832250000244470000224210000020260000000000000000442900000004008N    202412242025022220250131NMLIL20250131MMS          
REB0000000004600003089421ELIQUIS 5MG TABLET            00003MERCK AND CO INC              2202400018867200000042010001490355900013413203000014903560000354660000266200000088460000000000000001668900000000000YUNIT202301072023030820230208SMLIL20230208LEG          
REB0000000004755111017930SERTRALINE 50MG TABLET        55111TEVA PHARMACEUTICALS          3202300011495800000041950000860247600007742228000008602480000459310000302780000156530000000000000001799400000017696N    202303142023051320230503IMLIL20230503LEG          
REB0000000004800591508201OMEPRAZOLE 20MG CAPSULE       00591MERCK AND CO INC              3202300015517500000013400001959079400017631714000019590800000313490000246020000067470000000000000001046900000010019N    202301132023031420230325IEAIL20230325MMS          
REB0000000004950458057930SYNTHROID 100MCG TABLET       50458MYLAN PHARMACEUTICALS         4202300037367800000048410001393730800012543577000013937310000353120000219900000133220000150000000004978100000048287N    202306162023081520230913SGMIL20230913LEG          
REB0000000005000143314001FUROSEMIDE 40MG TABLET        00143SANDOZ INC                    4202400040559900000004690000668900600006020105000006689010000393150000232960000160190000000000000006497200000060656N    202312312024022920240326SEAIL20240326MMS          
REB0000000005100074381390HUMALOG 100U/ML VIAL          00074PFIZER INC                    1202400025580600000042590000753116000006778044000007531160000170540000092770000077770000000000000001989400000018146N    202403092024050820240515NGMIL20240515GEN          
REB0000000005200002751401TRULICITY 1.5MG PEN           00002ELI LILLY AND COMPANY         3202300006575400000041570001921406300017292656000019214070000150350000117780000032570000000000000000214100000002128N    202303242023052320230507SGMIL20230507GEN          
REB0000000005300074433902INSULIN GLARGINE 100U/ML      00074BRISTOL-MYERS SQUIBB          4202400007890200000047460000049277200000443494000000492780000450200000235300000214900000000000000001695600000016590N    202304132023061220230526NGMIL20230526MMS          
REB0000000005400591024701HYDROCODONE-ACET 5-325MG      00591NOVARTIS PHARMACEUTICALS      1202400003750400000042420000764379000006879411000007643790000056230000048460000007770000150000000000029100000000000YCALC202302172023041899999999NGMIL20230217GEN          
REB0000000005568180051902LOSARTAN 50MG TABLET          68180TEVA PHARMACEUTICALS          4202400018611100000026140000086340900000777068000000863410000168380000113360000055020000150000000001023900000010097N    202412282025022620250327NMLIL20250327MMS          
REB0000000005600143314001FUROSEMIDE 40MG TABLET        00143MERCK AND CO INC              4202400034025700000031480000511722800004605505000005117230000388400000275370000113030000000000000003845900000034980N    202405022024070120240617SMLIL20240617LEG          
REB0000000005700007465020PAXIL 20MG TABLET             00007TEVA PHARMACEUTICALS          2202400039695600000032780001294476500011650288000012944770000345530000190490000155040000000000000006154400000059585N    202412312025030120250331IMLIL20250331MMS          
REB0000000005868180051902LOSARTAN 50MG TABLET          68180PFIZER INC                    2202400007871900000018430000677353400006096180000006773540000154640000121570000033070000000000000000260300000002346N    202307212023091920230817IEAIL20230817LEG          
REB0000000005900591508201OMEPRAZOLE 20MG CAPSULE       00591SANDOZ INC                    2202400027802600000038030001031755000009285795000010317550000088720000064360000024360000150000000000677200000006639N    202302212023042299999999IMLIL20230221MMS          
REB0000000006055111017930SERTRALINE 50MG TABLET        55111TEVA PHARMACEUTICALS          4202400047769800000030050000802452500007222072000008024530000031080000029200000001880000150000000000089800000000000YUNIT202405232024072220240617SMLIL20240617GEN          
REB0000000006100006027531ZOCOR 20MG TABLET             00006ELI LILLY AND COMPANY         1202400045685600000002360001881083400016929750000018810840000153210000082150000071060000150000000003246400000029981N    202407192024091720241013SGMIL20241013LEG          
REB0000000006200310075590CRESTOR 10MG TABLET           00310AMGEN INC                     2202300018496300000001850001643912800014795215000016439130000002140000001080000001060000000000000000019600000000000YPRIC202308302023102920231004NMLIL20231004GEN          
REB0000000006300054327944PREDNISONE 10MG TABLET        00054TEVA PHARMACEUTICALS          4202300005996100000048090000072502200000652519000000725030000098380000088690000009690000000000000000058100000000547N    202303252023052499999999IGMIL20230325LEG          
REB0000000006400007465020PAXIL 20MG TABLET             00007JOHNSON AND JOHNSON           4202400021358700000016690001646754300014820788000016467550000002220000001580000000640000000000000000013600000000128N    202409222024112120241214SMLIL20241214LEG          
REB0000000006500006027531ZOCOR 20MG TABLET             00006AMGEN INC                     1202400016623900000032260000570240900005132168000005702410000294520000251160000043360000150000000000720800000006723N    202410052024120420241031SEAIL20241031LEG          
REB0000000006600003089421ELIQUIS 5MG TABLET            00003PFIZER INC                    2202400049407800000047890000621453600005593082000006214540000060220000039230000020990000000000000001037000000010196N    202411012024123120241124IEAIL20241124GEN          
REB0000000006700074433902INSULIN GLARGINE 100U/ML      00074AMGEN INC                     4202300010711700000028870000229524200002065717000002295250000340930000282340000058590000000000000000627500000006015N    202409242024112399999999NMLIL20240924MMS          
REB0000000006800071015523LIPITOR 20MG TABLET           00071SANOFI-AVENTIS US LLC         2202300007770400000048730001750637800015755740000017506380000105950000078890000027060000000000000000210200000001923N    202306162023081520230730IGMIL20230730GEN          
REB0000000006950458057930SYNTHROID 100MCG TABLET       50458SANDOZ INC                    1202400020390700000040780001130930800010178377000011309310000088340000054250000034090000150000000000695100000006733N    202412262025022420250223IMLIL20250223GEN          
REB0000000007055111017930SERTRALINE 50MG TABLET        55111AMGEN INC                     4202400015473800000019670000785725500007071529000007857260000374700000314070000060630000000000000000938100000009134N    202303162023051599999999NMLIL20230316LEG          
REB0000000007100006074928JANUVIA 100MG TABLET          00006SANDOZ INC                    2202400020210900000010570000062500800000562507000000625010000121110000080130000040980000000000000000828200000007869N    202307062023090420230830NMLIL20230830LEG          
REB0000000007200093715601METFORMIN 500MG TABLET        00093ABBVIE INC                    4202400025117500000045270001977779000017800011000019777790000122020000105010000017010000150000000000427200000003938N    202406272024082620240805IEAIL20240805GEN          
REB0000000007300093505598AZITHROMYCIN 250MG TABLET     00093ELI LILLY AND COMPANY         1202400001727900000035530001261311700011351805000012613120000247340000227630000019710000000000000000034000000000310N    202303052023050499999999NGMIL20230305GEN          
REB0000000007400074433902INSULIN GLARGINE 100U/ML      00074TEVA PHARMACEUTICALS          2202300047695200000036320001349842400012148581000013498430000459650000305990000153660000000000000007328800000070917N    202403062024050520240517SEAIL20240517LEG          
REB0000000007500378180501CLONAZEPAM 0.5MG TABLET       00378PFIZER INC                    3202400037005100000011970000540883100004867947000005408840000027500000022260000005240000000000000000193900000001758N    202404212024062020240517IGMIL20240517MMS          
REB0000000007600006027531ZOCOR 20MG TABLET             00006MERCK AND CO INC              1202300043713600000049450000472543400004252890000004725440000281150000176530000104620000000000000004573300000041422N    202409292024112820241201SGMIL20241201MMS          
REB0000000007700006027531ZOCOR 20MG TABLET             00006AMGEN INC                     4202400044296900000007510000231569100002084121000002315700000002240000001700000000540000000000000000023900000000000Y    202408172024101620241006IGMIL20241006MMS          
REB0000000007800093505598AZITHROMYCIN 250MG TABLET     00093ELI LILLY AND COMPANY         3202300007273700000031470000668749500006018745000006687500000387880000195810000192070000150000000001397000000013077N    202304252023062420230625IGMIL20230625GEN          
REB0000000007900074433902INSULIN GLARGINE 100U/ML      00074SANOFI-AVENTIS US LLC         2202400014476700000038490000356810200003211291000003568110000473590000305120000168470000150000000002438800000024096N    202411062025010599999999IEAIL20241106LEG          
REB0000000008000006074928JANUVIA 100MG TABLET          00006MERCK AND CO INC              2202300010620300000040080001560134000014041206000015601340000301310000233230000068080000000000000000723000000006990N    202405192024071820240625IEAIL20240625LEG          
REB0000000008100074433902INSULIN GLARGINE 100U/ML      00074JOHNSON AND JOHNSON           1202300049618400000036560000671157600006040418000006711580000074070000050240000023830000150000000001182400000011565N    202405082024070720240725IMLIL20240725LEG          
REB0000000008200003089421ELIQUIS 5MG TABLET            00003SANOFI-AVENTIS US LLC         4202400044589900000004210001724618300015521564000017246190000392100000266920000125180000150000000005581700000052596N    202406102024080999999999NEAIL20240610MMS          
REB0000000008300186507031AMOXICILLIN 500MG CAPSULE     00186SANDOZ INC                    1202400046477600000039850001554477600013990298000015544780000448280000326210000122070000000000000005673500000054251N    202306072023080699999999NMLIL20230607GEN          
REB0000000008450458057930SYNTHROID 100MCG TABLET       50458JOHNSON AND JOHNSON           3202400037696000000032120000359493400003235440000003594940000227440000184750000042690000000000000001609200000015366N    202303272023052620230527IMLIL20230527GEN          
REB0000000008568180051902LOSARTAN 50MG TABLET          68180ASTRAZENECA PHARMACEUTICALS   3202400022267200000036900000662592100005963328000006625930000346300000318530000027770000150000000000618300000005782N    202407292024092720240905IGMIL20240905GEN          
REB0000000008655111017930SERTRALINE 50MG TABLET        55111GILEAD SCIENCES INC           1202400040698100000039020000368052400003312471000003680530000326950000189450000137500000000000000005595900000054232N    202403222024052120240603NEAIL20240603MMS          
REB0000000008700378180501CLONAZEPAM 0.5MG TABLET       00378GILEAD SCIENCES INC           1202300004096900000027260001966899400017702094000019669000000153360000136710000016650000150000000000068200000000646N    202409132024111220241123SMLIL20241123LEG          
REB0000000008800591024701HYDROCODONE-ACET 5-325MG      00591ABBVIE INC                    4202300022215000000026260000296802400002671221000002968030000167340000142730000024610000000000000000546700000005256N    202306192023081820230725SGMIL20230725LEG          
REB0000000008900006074928JANUVIA 100MG TABLET          00006SANDOZ INC                    1202300048525600000048170001682798900015145190000016827990000396200000278360000117840000150000000005718200000051561N    202311212024012020240102SMLIL20240102GEN          
REB0000000009000310075590CRESTOR 10MG TABLET           00310NOVARTIS PHARMACEUTICALS      1202300031725300000049040001789847100016108623000017898480000131260000100230000031030000000000000000984400000000000YUNIT202411042025010320250115NGMIL20250115LEG          
REB0000000009100007465020PAXIL 20MG TABLET             00007AMGEN INC                     4202300011323300000003640000321067900002889611000003210680000153130000102970000050160000000000000000567900000005508N    202406202024081920240717SEAIL20240717LEG          
REB0000000009200003089421ELIQUIS 5MG TABLET            00003PFIZER INC                    1202300028248700000017900001769964000015929676000017699640000329660000251930000077730000150000000002195700000021444N    202404282024062720240630NGMIL20240630LEG          
REB0000000009300093715601METFORMIN 500MG TABLET        00093NOVARTIS PHARMACEUTICALS      3202300014250500000010410000672981700006056835000006729820000160570000081010000079560000150000000001133700000010884N    202303082023050720230428SMLIL20230428LEG          
REB0000000009400006027531ZOCOR 20MG TABLET             00006GLAXOSMITHKLINE LLC           3202300005665300000044720000755300000006797700000007553000000035360000032580000002780000150000000000015700000000000YPRIC202412222025022020250319IEAIL20250319LEG          
REB0000000009500378211501TRAZODONE 50MG TABLET         00378BRISTOL-MYERS SQUIBB          4202300007984700000034290000442280900003980528000004422810000037940000019730000018210000000000000000145400000000000YPRIC202311282024012720240207NMLIL20240207GEN          
REB0000000009600186507031AMOXICILLIN 500MG CAPSULE     00186AMGEN INC                     3202400008008400000029340000545960900004913648000005459610000212480000169980000042500000000000000000340300000003166N    202410242024122320241231NMLIL20241231MMS          
REB0000000009700069015030LIPITOR 10MG TABLET           00069ELI LILLY AND COMPANY         1202300013476500000009760000695022400006255201000006950230000493660000254120000239540000000000000003228100000030543N    202409052024110420240928SGMIL20240928GEN          
REB0000000009800185006001ALBUTEROL HFA INHALER         00185GLAXOSMITHKLINE LLC           2202300049348100000040280001502983300013526849000015029840000480720000246350000234370000000000000011565700000110867N    202412282025022699999999IMLIL20241228MMS          
REB0000000009900006027531ZOCOR 20MG TABLET             00006JOHNSON AND JOHNSON           4202400023798300000023700000320982400002888841000003209830000395710000231140000164570000000000000003916400000035918N    202403162024051520240524IEAIL20240524MMS          
REB0000000010000093715601METFORMIN 500MG TABLET        00093MYLAN PHARMACEUTICALS         4202300004783200000009960000043657600000392918000000436580000419370000301510000117860000150000000000563700000005431N    202305142023071399999999NGMIL20230514GEN          
